PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
202, 1660490563, 0.857955, 0.39992404, 0.2017107, -0.2515686, -0.22575134, 0.13522099, -0.09642887
203, 1660507230, 0.8574079, 0.40086672, 0.20110792, -0.25241494, -0.24036653, 0.28756097, 0.008385658
204, 1660523897, 0.85691273, 0.4016633, 0.20054133, -0.2532793, -0.15012811, 0.30898362, 0.08330536
205, 1660540564, 0.8565467, 0.40210718, 0.20010448, -0.25415733, -0.011389658, 0.29514146, 0.106633194
206, 1660557231, 0.85630536, 0.4022012, 0.19985875, -0.25501347, -0.034983117, 0.1696494, 0.05381489
207, 1660573898, 0.8561909, 0.40198255, 0.19976692, -0.2558132, -0.1352039, 0.12463772, 0.042834282
208, 1660590565, 0.8561614, 0.40155646, 0.19981301, -0.25654447, -0.21741208, 0.092150785, 0.017079353
209, 1660607232, 0.8561495, 0.4010921, 0.19991055, -0.25723335, -0.2205404, 0.030380629, 0.005832672
210, 1660623899, 0.856109, 0.40069064, 0.20001873, -0.2579088, -0.21404125, -0.0029903054, -0.044602394
211, 1660640566, 0.856046, 0.40031922, 0.20018384, -0.25856605, -0.15342836, 0.050337944, 0.015940666
212, 1660657233, 0.85604846, 0.3998142, 0.20041186, -0.25916198, -0.2201244, 0.13023931, -0.028079987
213, 1660673900, 0.8561355, 0.39918184, 0.20066461, -0.25965354, -0.30996856, 0.13293964, -0.06666947
214, 1660690567, 0.85627675, 0.39849335, 0.20089881, -0.2600636, -0.32170182, 0.11672102, -0.022787094
215, 1660707234, 0.85645556, 0.3977651, 0.20112513, -0.2604148, -0.23076558, 0.12295249, 0.078793526
216, 1660723901, 0.8566567, 0.39701465, 0.20135516, -0.2607201, -0.12451875, 0.12245451, 0.07027054
217, 1660740568, 0.8568214, 0.39634213, 0.20158345, -0.26102534, -0.043645777, 0.11230278, 0.06836319
218, 1660757235, 0.8569155, 0.3958169, 0.20180786, -0.26133984, -0.07787489, 0.061865207, 0.07561016
219, 1660773902, 0.85695237, 0.39542156, 0.20206054, -0.26162252, -0.15965262, 0.039381605, 0.080750465
220, 1660790569, 0.8569154, 0.39522913, 0.20228115, -0.26186335, -0.2361353, -0.011959314, 0.083898544
221, 1660807236, 0.85684097, 0.39518794, 0.2024504, -0.2620383, -0.30313724, 0.033989742, 0.08534813
222, 1660823903, 0.85680735, 0.39519352, 0.20257694, -0.26204184, -0.3862993, 0.071802855, -2.2983554E-4
223, 1660840570, 0.8568039, 0.39526743, 0.20261997, -0.26190853, -0.41730827, 0.1206394, -0.012135506
224, 1660857237, 0.8568411, 0.39533675, 0.20261833, -0.26168337, -0.30264562, 0.19155744, 0.036862377
225, 1660873904, 0.85688764, 0.39540958, 0.20260553, -0.26143083, -0.21177997, 0.14924905, 0.056582455
226, 1660890571, 0.85692143, 0.39550427, 0.20259416, -0.26118517, -0.18406795, 0.04730887, 0.10049821
227, 1660907238, 0.856936, 0.3956246, 0.20262337, -0.26093268, -0.12002808, 0.0043289103, 0.09678745
228, 1660923905, 0.8569267, 0.3957828, 0.20270479, -0.2606597, -0.14274037, 0.019164499, 0.09884739
229, 1660940572, 0.85690427, 0.3959683, 0.20283231, -0.26035213, -0.17232607, 0.024019174, -0.018250465
230, 1660957239, 0.85683155, 0.39627168, 0.20292008, -0.26006138, -0.24156845, 0.10688315, -0.06791496
231, 1660973906, 0.85680956, 0.39649633, 0.2030198, -0.25971332, -0.17479658, 0.18580985, -0.03269863
232, 1660990573, 0.856825, 0.3966585, 0.2031089, -0.2593452, -0.13190496, 0.18593678, -0.055180553
233, 1661007240, 0.8568418, 0.3968227, 0.20320159, -0.25896513, -0.1703873, 0.16720575, -0.022411346
234, 1661023907, 0.85685045, 0.39702266, 0.20329659, -0.2585559, -0.18169664, 0.1476006, -0.040122032
235, 1661040574, 0.85684633, 0.39726582, 0.20337209, -0.25813633, -0.2135061, 0.13895908, 0.004995346
236, 1661057241, 0.85682356, 0.3975731, 0.20342344, -0.25769743, -0.19463478, 0.13306567, 0.06545353
237, 1661073908, 0.8568203, 0.39786988, 0.20351633, -0.25717664, -0.18552744, 0.0844578, 0.054069523
238, 1661090575, 0.8568147, 0.39819065, 0.20363463, -0.25660452, -0.2017389, 0.06125927, 0.073758125
239, 1661107242, 0.85680777, 0.3985286, 0.20376034, -0.25600207, -0.15174654, 0.11286475, 0.10034752
240, 1661123909, 0.8567642, 0.3989194, 0.2038869, -0.25543836, -0.081337586, 0.13373853, 0.15869522
