PacketCounter,SampleTimeFine,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
149,716438444,-0.038301339,0.039862613,0.250516688,0.999962575,-0.005349091,-0.005385886,-0.004150732
150,716455111,0.035780865,0.027492189,0.17299328,0.9999355,-0.00526211,-0.009835455,-0.002137859
151,716471778,0.13491521,0.02540271,0.08185615,0.999943475,-0.004297589,-0.009724517,1.05E-04
152,716488445,0.22935521,0.023356319,-0.001904146,0.999984229,-0.003898052,-0.00373686,0.001543315
153,716505112,0.259778424,0.013693787,-0.031204778,0.99997077,-0.003656768,0.006477851,0.00176744
154,716521779,0.197601168,-0.022484071,0.022230272,0.999858473,-0.001118225,0.016628382,0.002298128
155,716538446,0.072286473,-0.048476095,0.141511081,0.999755695,0.00467512,0.021446911,0.002593052
156,716555113,-0.048222447,-0.037639654,0.261547324,0.999776089,0.009382746,0.018840381,0.002185346
157,716571780,-0.100566543,0.029154498,0.322542164,0.999907157,0.008441252,0.010673087,7.13E-04
158,716588447,-0.125197321,0.070834201,0.328517479,0.99999822,4.75E-04,-1.00E-04,-0.001823159
159,716605114,-0.058808314,0.064242264,0.266125969,0.999916251,-0.007780265,-0.009644151,-0.003734742
160,716621781,0.033072566,0.026568733,0.174654918,0.999819575,-0.01183123,-0.014328018,-0.003943112
161,716638448,0.136252234,-0.002114271,0.081491543,0.999860779,-0.00980542,-0.013346928,-0.002033668
162,716655115,0.22743057,-0.016068169,-0.003565442,0.999958588,-0.005463928,-0.007227541,8.55E-04
163,716671782,0.276183982,-0.024118286,-0.055252269,0.999988953,3.33E-05,0.003445434,0.003197038
164,716688449,0.236150755,-0.027408084,-0.03191132,0.999866446,0.004425932,0.01517457,0.004151245
165,716705116,0.112353666,-0.033035072,0.078157596,0.999711335,0.008091314,0.022291284,0.003856962
166,716721783,-0.012894851,-0.009540613,0.203010014,0.999718216,0.00898155,0.021854253,0.002283141
167,716738450,-0.100741312,0.019805677,0.295577847,0.999863546,0.006302836,0.015269119,1.31E-04
168,716755117,-0.129735612,0.044385693,0.327500919,0.999980435,8.25E-04,0.005788129,-0.002224145
169,716771784,-0.108386292,0.047222598,0.300459998,0.999972497,-0.005086694,-0.003905343,-0.003725394
170,716788451,-0.039825329,0.02695507,0.217749675,0.999902077,-0.008136507,-0.010701919,-0.003886241
171,716805118,0.056803603,0.005902581,0.126136679,0.999887177,-0.007506281,-0.012728882,-0.002695202
172,716821785,0.159179765,-6.68E-04,0.031453899,0.999943367,-0.004484364,-0.009646009,-3.28E-04
173,716838452,0.243438113,-0.006397307,-0.049681272,0.999996118,-4.48E-04,-0.001330922,0.002406778
