PacketCounter,SampleTimeFine,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
254,598758468,-0.00151354,-0.005235576,0.170413594,0.999999891,2.33E-05,2.85E-04,-3.69E-04
255,598775135,-0.002895992,-0.003084127,0.171378953,0.999999853,-2.57E-04,-3.32E-06,-4.77E-04
256,598791802,-0.001958914,-0.00536058,0.169213851,0.999999875,-2.32E-04,-2.57E-04,-3.59E-04
257,598808469,-4.24E-05,-0.006647278,0.165663837,0.999999929,1.67E-04,-3.02E-04,-1.54E-04
258,598825136,0.002864031,-0.002660209,0.162983269,0.999999919,3.44E-04,-2.03E-04,-5.03E-05
259,598841803,0.002381008,-0.001472278,0.163838886,0.999999989,1.21E-04,-7.48E-05,-2.96E-05
260,598858470,0.001317239,-0.003634384,0.165109206,0.999999991,-9.09E-05,-7.97E-05,-6.33E-05
261,598875137,0.002003889,-0.00588598,0.164755931,0.999999965,-1.52E-04,-1.05E-04,-1.91E-04
262,598891804,0.002133068,-0.005061454,0.163622381,0.999999961,-6.72E-05,-8.17E-05,-2.58E-04
263,598908471,0.00124193,-0.002930846,0.163920656,0.999999987,1.85E-05,-4.69E-05,-1.50E-04
264,598925138,2.03E-04,-0.003260139,0.164359115,0.999999998,6.41E-05,-8.17E-06,2.44E-05
265,598941805,6.44E-04,-0.004157887,0.164858546,0.999999969,2.19E-04,-1.05E-05,1.19E-04
266,598958472,6.94E-04,-0.003675536,0.164965714,0.999999857,4.63E-04,-1.96E-05,2.67E-04
267,598975139,5.10E-04,-0.001765371,0.16516273,0.999999849,4.17E-04,-4.36E-05,3.55E-04
268,598991806,8.90E-04,-8.07E-04,0.165241233,0.999999957,-2.24E-04,-1.47E-04,1.24E-04
269,599008473,-1.10E-04,-0.005260957,0.166434155,0.999999634,-7.97E-04,-2.54E-04,-1.76E-04
270,599025140,3.79E-04,-0.009952501,0.167067571,0.999999775,-5.28E-04,-3.54E-04,-2.15E-04
